Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0290036	145.436	36.268	26.568	153.58	19.955	31.001
FBtr0074487	2102.831	748.732	820.432	1841.504	656.045	715.999
FBtr0085159	823.483	251.17	313.762	842.484	228.389	265.556
FBtr0085160	17.428	7.538	4.423	4.364	7.427	7.487
FBtr0334729	48.559	17.79	31.965	129.429	16.65	9.152
FBtr0085161	38.917	29.778	21.886	48.656	49.272	70.389
FBtr0085162	10.748	5.077	2.964	3.086	5.262	5.416
FBtr0075417	4925.106	1715.993	2090.421	4662.55	1484.497	1760.723
FBtr0075419	18.79	37.38	8.713	10.984	8.21	9.509
FBtr0075418	28.123	8.439	8.525	22.556	8.045	9.289
FBtr0075420	40.158	0.408	0.37	16.257	3.852	0.46
FBtr0308819	40.323	9.78	24.971	49.64	19.396	5.019
FBtr0075564	1254.142	345	400	1274	342	375
FBtr0309231	0.666	0	0.334	0.5	0.334	0.334
FBtr0075240	0.667	0	0.333	0	0.333	0.333
FBtr0075239	0.667	0	0.333	0.5	0.333	0.333
FBtr0112483	1.067	0.003	0.002	2.057	0.003	0.006
FBtr0078995	1047	403	495	1083	341	476
FBtr0075089	51.062	26	35	43.058	21	19
FBtr0305000	0.059	0.133	0.13	4.014	0.233	0.093
FBtr0346146	3.699	2.86	2.865	1.983	1.759	3.901
FBtr0334908	2.242	0.007	0.005	0.003	0.008	0.006
FBtr0085268	7	7	3	20	2	9
FBtr0100065	24	2	1	9	2	3
FBtr0088671	2	0	1	4	1	1
FBtr0343553	2.622	0	0	6.817	2.621	4.33
FBtr0343552	0.378	0	0	1.183	0.379	0.67
FBtr0307499	0	0	0	0	0	1
FBtr0334587	0	0	0	0	0	0
FBtr0083891	0	0	0	0	0	0
FBtr0336738	0.135	0.236	0	0	0	0
FBtr0072628	1.744	0.764	0	0	0	0
FBtr0082620	2.009	1.001	0.001	3.005	0.001	1.004
FBtr0345934	0.185	0	1.977	0.124	0	0
FBtr0072193	0.815	0	0.023	3.876	0	0
FBtr0344890	0	0	0	0	0	0
FBtr0304818	0	0	0	0	0	0
FBtr0347068	150.176	50.842	50.111	86.17	18.72	18.85
FBtr0303825	1169.11	490.158	600.761	1014.522	371.28	439.15
FBtr0301002	2	0	2	0	0	1
FBtr0086497	1	0	0	0	0	0
FBtr0300366	2.489	0.697	0.478	0.759	2.398	0
FBtr0343444	2.511	1.303	0.522	2.241	1.602	0
FBtr0300051	0	0	0	1	0	0
FBtr0080019	601	169	193	450	169	182
FBtr0302213	34	8	8	17	3	6
FBtr0082974	347	105	114	279	80	88
FBtr0073009	0	0	0	0	0	0
FBtr0304042	0	0	0	0	0	0
FBtr0114554	1	0	0	1	0	2
FBtr0334134	114	37	32	115	21.966	27
FBtr0070142	0	0	1	2	1	0
FBtr0112749	2	4	1	1	0	0
FBtr0335173	218.839	80.013	101.601	252.142	51.018	57.169
FBtr0077744	3219.131	1480.689	1637.399	3170.084	1187.982	1323.175
FBtr0081225	0	0	0	0	0	0
FBtr0339940	39.674	12.248	14.99	30.648	7.085	7.617
FBtr0087625	29.326	11.795	18.01	19.379	6.936	7.444
FBtr0078251	673	256	283	704	220	281
FBtr0306290	0	0	0	0	0	0
FBtr0088560	1.651	1.652	0.996	2.3	0	0.996
