Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0303560	353.411	160.581	124.548	413.269	88.0758	39.9616
FBtr0082779	242	81	98	285	64	93
FBtr0299683	212.062	66.2214	110.495	180.506	61.0507	70.0968
FBtr0290069	1278.72	645.138	726.843	2409.09	899.382	833.787
FBtr0343571	8637.68	3389.87	3904.74	4689.3	1921.73	1546.01
FBtr0074276	2864.9	941.796	853.5	7268.49	1996.89	2136.49
FBtr0306283	1	0	0	0	0	0
FBtr0075512	312	120	177	392	138	178
FBtr0273438	4	1.5	2	3.5	1	1.5
FBtr0330196	4	1.5	2	3.5	1	1.5
FBtr0301978	233	87	108	295	88	85
FBtr0076440	17.3612	6.01586	11	29.4373	7	10.0275
FBtr0342811	3.6231	1.63978e-7	2.25753e-5	18266.5	6484.85	5996.96
FBtr0342808	0.265129	0.015351	0.00683839	0	0.0013255	0
FBtr0342826	0	0	0	0	0	0
FBtr0342814	4737.44	2067.28	2307.13	494.249	62.6955	232.281
FBtr0342821	0	0	0	66.7602	0	1.08127
FBtr0342825	87.171	55.1257	216.769	6.72376e-5	0	96.3514
FBtr0342813	2259.13	824.899	795.968	43.0104	57.9015	0
FBtr0342812	0	0	0	0	1.77681e-7	0
FBtr0342815	17.1199	0.00329594	0.157734	913.775	419.189	173.201
FBtr0342810	5136.08	2734.86	2631.47	487.762	169.014	108.186
